113548	石英转债 !	180.520	-2.42%	石英股份 R	27.39	-1.33%	6.05	15.10	181.39	-0.48%	会员	AA-	购买	10.57	19.63	2.3%	会员	25-10-27	5.301	2.155	13564.45	34.27%	-6.86%	购买	180.04	
128074	游族转债	161.000	-2.78%	游族网络 R	27.60	-2.65%	4.76	17.06	161.78	-0.48%	会员	AA	购买	11.94	22.18	3.4%	会员	25-09-23	5.208	8.416	30314.31	22.14%	-5.54%	购买	160.52	
113526	联泰转债 !	146.770	-3.57%	联泰环保	9.00	-3.85%	1.92	6.11	147.30	-0.36%	会员	AA+	购买	4.28	7.94	4.9%	会员	25-01-22	4.540	1.960	1714.83	5.87%	-6.11%	购买	146.41	
128077	华夏转债 !	158.867	-2.05%	华夏航空	16.77	-2.27%	4.18	10.52	159.41	-0.34%	会员	AA-	购买	7.36	13.68	0.3%	会员	25-10-16	5.271	0.313	8291.31	162.03%	-5.16%	购买	158.53	
127003	海印转债	119.867	-0.58%	海印股份 R	3.62	0.84%	2.19	3.01**	120.27	-0.34%	会员	AA	购买	2.11	3.91	11.3%	会员	22-06-08	1.912	9.186	8291.10	7.51%	-3.61%	购买	119.53	
123034	通光转债	153.030	-4.94%	通光线缆	12.23	-5.05%	4.09	7.97	153.45	-0.27%	会员	A+	购买	5.58	10.36	3.8%	-	25-11-03	5.321	1.628	32803.05	129.50%	-4.78%	购买	152.76	
127015	希望转债	162.520	-1.50%	新希望 R	31.99	-1.36%	4.73	19.63	162.96	-0.27%	会员	AAA	购买	13.74	25.52	2.3%	会员	26-01-02	5.485	30.554	29067.01	5.86%	-6.93%	购买	162.25	
123020	富祥转债	224.800	-0.13%	富祥药业	20.91	-0.10%	5.46	9.28	225.32	-0.23%	会员	AA-	购买	6.50	12.06	0.8%	会员	25-03-01	4.644	0.727	37706.44	225.63%	-12.78%	购买	224.57	
123018	溢利转债	196.100	3.37%	溢多利	16.41	3.01%	2.99	8.35	196.53	-0.22%	会员	AA-	购买	5.84	10.86	1.1%	会员	24-12-20	4.449	0.897	42634.66	244.10%	-11.51%	购买	195.88	
113558	日月转债	145.840	2.44%	日月股份	20.20	2.02%	4.09	13.84	145.95	-0.08%	会员	AA	购买	9.69	17.99	7.9%	会员	25-12-22	5.455	11.926	3110.49	1.79%	-4.29%	购买	145.76	
128059	视源转债	142.200	1.46%	视源股份	106.50	2.53%	13.68	74.97	142.06	0.10%	会员	AA	购买	52.48	97.46	1.3%	会员	25-03-11	4.671	9.413	2579.33	1.94%	-4.72%	购买	142.30	
113514	威帝转债	144.630	0.86%	威帝股份	5.75	1.59%	4.31	3.99	144.11	0.36%	会员	A+	购买	2.79	5.19	3.1%	会员	23-07-20	3.027	0.956	33652.00	242.77%	-8.46%	购买	144.99	
113580	康隆转债	124.990	-2.60%	康隆达	19.31	-3.93%	2.75	15.51	124.50	0.39%	会员	AA-	购买	10.86	20.16	7.0%	-	26-04-22	5.786	2.000	3372.16	13.34%	-0.54%	购买	125.38	
